node,bipartite
u1671,users
u9370,users
u31046,users
u10435,users
u14401,users
u4418,users
u347,users
u9304,users
u6979,users
u28678,users
u201,users
u21,users
u2509,users
u4914,users
u3605,users
u3741,users
u51607,users
u13713,users
u4733,users
u1880,users
u3751,users
u8795,users
u25155,users
u2098,users
u6394,users
u7294,users
u18521,users
u325,users
u35997,users
u19103,users
u1856,users
u3274,users
u537,users
u2115,users
u1960,users
u322,users
u147,users
u8917,users
u2274,users
u8750,users
u20194,users
u18831,users
u5932,users
u8006,users
u11691,users
u5055,users
u14774,users
u3374,users
u22401,users
u5340,users
u46677,users
u863,users
u40226,users
u733,users
u8387,users
u22009,users
u2432,users
u2861,users
u32152,users
u8443,users
u8810,users
u9743,users
u7422,users
u17,users
u41956,users
u24540,users
u1235,users
u17118,users
u16879,users
u6980,users
u10508,users
u2204,users
u9107,users
u741,users
u1278,users
u18239,users
u54244,users
u1469,users
u3252,users
u483,users
u15817,users
u7098,users
u6711,users
u16704,users
u39966,users
u55386,users
u15188,users
u829,users
u1335,users
u45507,users
u6855,users
u8136,users
u847,users
u14696,users
u21389,users
u9556,users
u3606,users
u4546,users
u5158,users
u16225,users
u13302,users
u41158,users
u7456,users
u22294,users
u21630,users
u11878,users
u5639,users
u2022,users
u44557,users
u11781,users
u9239,users
u19686,users
u94,users
u4036,users
u387,users
u2346,users
u505,users
u40108,users
u53219,users
u52379,users
u6226,users
u3825,users
u49155,users
u37044,users
u1544,users
u40641,users
u1835,users
u34446,users
u9906,users
u14938,users
u747,users
u845,users
u14376,users
u41518,users
u2916,users
u27260,users
u4436,users
u3666,users
u1595,users
u15346,users
u7848,users
u15432,users
u6431,users
u20386,users
u8584,users
u6240,users
u6510,users
u6722,users
u211,users
u14378,users
u470,users
u9570,users
u19285,users
u4903,users
u17391,users
u2623,users
u27659,users
u20308,users
u25310,users
u4477,users
u11156,users
u627,users
u55536,users
u373,users
u36266,users
u721,users
u16011,users
u1691,users
u16482,users
u37823,users
u12031,users
u2315,users
u15247,users
u16465,users
u1576,users
u1859,users
u804,users
u6970,users
u15012,users
u2209,users
u8563,users
u1141,users
u6401,users
u31968,users
u2094,users
u3585,users
u5507,users
u83,users
u1031,users
u55892,users
u69,users
u3227,users
u542,users
u16492,users
u12479,users
u55,users
u47137,users
u4270,users
u22594,users
u10726,users
u2782,users
u14084,users
u30884,users
u2741,users
u14501,users
u1666,users
u12425,users
u5997,users
u336,users
u6123,users
u14272,users
u13398,users
u11053,users
u769,users
u25461,users
u49170,users
u19333,users
u4799,users
u583,users
u3906,users
u2050,users
u95,users
u27397,users
u298,users
u22347,users
u4414,users
u32984,users
u2002,users
u1519,users
u34380,users
u44987,users
u6503,users
u2521,users
u4821,users
u11750,users
u2400,users
u2365,users
u2852,users
u20571,users
u1172,users
u5375,users
u951,users
u2240,users
u31611,users
u3790,users
u30213,users
u33654,users
u23488,users
u399,users
u2210,users
u3892,users
u20213,users
u1,users
u13895,users
u1054,users
u18682,users
u2173,users
u20259,users
u27720,users
u2137,users
u4136,users
u8341,users
u52804,users
u264,users
u10142,users
u19558,users
u781,users
u9670,users
u2172,users
u15456,users
u2516,users
u6243,users
u44424,users
u3040,users
u51622,users
u24742,users
u8149,users
u5155,users
u445,users
u7450,users
u13244,users
u2957,users
u17522,users
u5991,users
u21564,users
u361,users
u4184,users
u678,users
u9234,users
u13752,users
u21339,users
u10985,users
u10119,users
u1793,users
u401,users
u3174,users
u1575,users
u27973,users
u664,users
u113,users
u25617,users
u19860,users
u393,users
u28870,users
u22675,users
u7252,users
u2950,users
u3187,users
u12333,users
u3318,users
u46,users
u9211,users
u784,users
u3452,users
u6895,users
u2403,users
u1419,users
u5567,users
u1057,users
u2043,users
u639,users
u1212,users
u2144,users
u12015,users
u526,users
u1754,users
u3369,users
u2666,users
u703,users
u5213,users
u2122,users
u801,users
u2234,users
u3545,users
u1156,users
u460,users
u14198,users
u16005,users
u5041,users
u1714,users
u6494,users
u6402,users
u10244,users
u589,users
u23046,users
u930,users
u28813,users
u12311,users
u3406,users
u13910,users
u20207,users
u2973,users
u20286,users
u1047,users
u4628,users
u49121,users
u1925,users
u5316,users
u5354,users
u7780,users
u371,users
u19815,users
u4080,users
u18248,users
u359,users
u2189,users
u16936,users
u578,users
u5407,users
u29186,users
u5395,users
u54592,users
u7341,users
u11733,users
u25761,users
u22189,users
u28701,users
u456,users
u3502,users
u6571,users
u777,users
u1839,users
u16728,users
u20627,users
u19063,users
u84,users
u6963,users
u8035,users
u5013,users
u509,users
u12541,users
u10937,users
u42227,users
u1756,users
u53115,users
u1393,users
u708,users
u3721,users
u1891,users
u35944,users
u3872,users
u2719,users
u1977,users
u3197,users
u1457,users
u13135,users
u2686,users
u758,users
u22930,users
u38308,users
u1975,users
u2894,users
u35452,users
u1151,users
u31752,users
u17311,users
u14746,users
u24798,users
u9721,users
u21111,users
u7764,users
u5064,users
u12884,users
u426,users
u45797,users
u8495,users
u6784,users
u55972,users
u1842,users
u2937,users
u1398,users
u10650,users
u702,users
u16822,users
u6602,users
u3913,users
u1208,users
u3507,users
u39869,users
u11667,users
u3960,users
u22623,users
u271,users
u13050,users
u237,users
u1129,users
u8080,users
u26817,users
u5962,users
u9301,users
u13511,users
u26837,users
u516,users
u10491,users
u190,users
u12046,users
u5605,users
u11372,users
u8911,users
u5901,users
u5939,users
u28543,users
u10891,users
u922,users
u1360,users
u7555,users
u22525,users
u4135,users
u5687,users
u1146,users
u42503,users
u9123,users
u446,users
u1072,users
u13981,users
u45038,users
u973,users
u11202,users
u4014,users
u5520,users
u3082,users
u14764,users
u5242,users
u3047,users
u2808,users
u16150,users
u47500,users
u13803,users
u1992,users
u14109,users
u10021,users
u1584,users
u964,users
u19814,users
u33434,users
u55802,users
u18305,users
u10490,users
u56143,users
u18842,users
u9002,users
u7808,users
u4545,users
u2886,users
u26621,users
u13269,users
u12244,users
u2822,users
u161,users
u18451,users
u12366,users
u501,users
u6,users
u3331,users
u10686,users
u8646,users
u1063,users
u4869,users
u544,users
u44969,users
u32485,users
u4093,users
u19071,users
u4363,users
u5061,users
u5001,users
u4192,users
u815,users
u1298,users
u2279,users
u13128,users
u162,users
u4617,users
u31150,users
u5829,users
u510,users
u2042,users
u9673,users
u6063,users
u2114,users
u14935,users
u226,users
u2374,users
u6351,users
u7216,users
u215,users
u20586,users
u3849,users
u489,users
u4653,users
u30194,users
u18429,users
u1376,users
u171,users
u2494,users
u5020,users
u20843,users
u7649,users
u5072,users
u3286,users
u23342,users
u1810,users
u6061,users
u1720,users
u36362,users
u45510,users
u14050,users
u10646,users
u14883,users
u19094,users
u1673,users
u6765,users
u54,users
u2091,users
u10824,users
u7881,users
u47161,users
u9087,users
u5079,users
u6425,users
u15615,users
u6998,users
u276,users
u24768,users
u5764,users
u14690,users
u4199,users
u7517,users
u20115,users
u1244,users
u1882,users
u10085,users
u685,users
u1919,users
u15190,users
u1171,users
u681,users
u35189,users
u13522,users
u5334,users
u1828,users
u1629,users
u28846,users
u49158,users
u24242,users
u9935,users
u27012,users
u317,users
u18247,users
u5827,users
u1631,users
u7348,users
u2066,users
u16194,users
u18182,users
u7570,users
u5944,users
u18050,users
u26324,users
u360,users
u3122,users
u5706,users
u646,users
u3224,users
u797,users
u10664,users
u28936,users
u8467,users
u1436,users
u16306,users
u8825,users
u14841,users
u38386,users
u23644,users
u935,users
u35638,users
u3375,users
u655,users
u14477,users
u42420,users
u2284,users
u713,users
u2845,users
u7276,users
u2634,users
u4623,users
u21317,users
